-0.000012,-0.000164,-0.270079,0.519944,-0.299966,-0.000016,-0.000011,-0.000160,-0.269692,0.519998,-0.300293,-0.000007,0.018556,0.142048,-0.044624,-0.202689,0.043886,0.058081,0.000000,-0.027247,-0.128261,0.257438,-0.193711,0.031289,-0.042948,0.000000
-0.000013,-0.000166,-0.270118,0.519952,-0.299954,-0.000029,-0.000012,-0.000163,-0.269706,0.519968,-0.300272,0.000008,0.019734,0.143185,-0.042678,-0.202538,0.044402,0.058874,0.000000,-0.026593,-0.128727,0.257450,-0.194073,0.031184,-0.043243,0.000000
-0.000016,-0.000166,-0.270172,0.519965,-0.299927,-0.000039,-0.000014,-0.000163,-0.269733,0.519929,-0.300243,0.000033,0.021140,0.144701,-0.040327,-0.202298,0.044979,0.059782,0.000000,-0.025742,-0.129303,0.257497,-0.194455,0.031083,-0.043595,0.000000
-0.000021,-0.000160,-0.270208,0.519979,-0.299897,-0.000055,-0.000019,-0.000158,-0.269767,0.519908,-0.300225,0.000060,0.022486,0.146477,-0.037936,-0.201965,0.045514,0.060727,0.000000,-0.024952,-0.129900,0.257645,-0.194845,0.031013,-0.043950,0.000000
-0.000027,-0.000150,-0.270219,0.519990,-0.299875,-0.000059,-0.000024,-0.000148,-0.269802,0.519910,-0.300205,0.000067,0.023810,0.148499,-0.035620,-0.201536,0.045984,0.061721,0.000000,-0.024172,-0.130423,0.258198,-0.195324,0.031027,-0.044264,0.000000
-0.000032,-0.000136,-0.270209,0.519999,-0.299867,-0.000040,-0.000029,-0.000134,-0.269836,0.519928,-0.300183,0.000048,0.025136,0.150717,-0.033310,-0.200977,0.046417,0.062756,0.000000,-0.023475,-0.130911,0.258789,-0.195878,0.031038,-0.044578,0.000000
-0.000035,-0.000118,-0.270192,0.520003,-0.299877,-0.000003,-0.000031,-0.000115,-0.269878,0.519953,-0.300142,0.000020,0.026446,0.153006,-0.030853,-0.200305,0.046855,0.063769,0.000000,-0.022917,-0.131434,0.259089,-0.196479,0.030988,-0.044932,0.000000
-0.000035,-0.000100,-0.270182,0.520014,-0.299860,0.000029,-0.000032,-0.000098,-0.269911,0.519972,-0.300115,0.000009,0.027664,0.155205,-0.028049,-0.199558,0.047356,0.064672,0.000000,-0.022423,-0.132038,0.259354,-0.197026,0.030934,-0.045319,0.000000
-0.000034,-0.000081,-0.270178,0.520032,-0.299825,0.000042,-0.000031,-0.000080,-0.269941,0.519974,-0.300094,0.000010,0.028749,0.157154,-0.024840,-0.198869,0.047943,0.065413,0.000000,-0.021902,-0.132610,0.259577,-0.197567,0.030865,-0.045675,0.000000
-0.000033,-0.000059,-0.270175,0.520048,-0.299790,0.000052,-0.000030,-0.000057,-0.269977,0.519961,-0.300068,0.000011,0.029721,0.158909,-0.021457,-0.198226,0.048557,0.066013,0.000000,-0.021408,-0.133150,0.259640,-0.198118,0.030766,-0.045996,0.000000
-0.000029,-0.000032,-0.270165,0.520055,-0.299786,0.000056,-0.000027,-0.000030,-0.270030,0.519945,-0.300011,0.000013,0.030581,0.160570,-0.018035,-0.197616,0.049152,0.066545,0.000000,-0.020929,-0.133657,0.259718,-0.198666,0.030692,-0.046264,0.000000
-0.000022,-0.000002,-0.270139,0.520051,-0.299815,0.000044,-0.000020,0.000001,-0.270086,0.519938,-0.299939,0.000016,0.031317,0.162232,-0.014650,-0.196992,0.049709,0.067056,0.000000,-0.020468,-0.134111,0.259933,-0.199185,0.030662,-0.046456,0.000000
-0.000014,0.000021,-0.270126,0.520041,-0.299838,0.000037,-0.000012,0.000024,-0.270137,0.519933,-0.299876,0.000023,0.032050,0.163858,-0.011510,-0.196352,0.050186,0.067484,0.000000,-0.019962,-0.134575,0.260265,-0.199617,0.030658,-0.046633,0.000000
-0.000008,0.000038,-0.270129,0.520037,-0.299853,0.000045,-0.000006,0.000040,-0.270185,0.519920,-0.299828,0.000023,0.032788,0.165484,-0.008783,-0.195696,0.050556,0.067809,0.000000,-0.019476,-0.135047,0.260620,-0.200010,0.030658,-0.046832,0.000000
