-5.41E-01,1.02E+00,6.73E-01,-1.85E-02,-1.39E-02,-5.88E-01,8.09E-01,-4.15E-01,8.76E-02,5.10E-02,1.46E-01,1.99E-01,-2.59E-01,-5.06E-02,-6.29E-02,-3.06E-02,-2.88E-02,1.45E-01,-1.19E-01,8.97E-02,-1.31E-01,2.46E-02,-6.17E-01,-1.06E-01,-9.14E-02,-8.95E-02,2.13E-01,-1.24E-01
-0.541,1.02,0.672,-0.0168,-0.015,-0.668,0.744,-0.207,0.0531,0.0577,0.134,0.248,-0.333,-0.0877,0.1,-0.0338,0.0,0.0,0.0,0.0,-0.17,-0.1,-0.779,-0.216,0.0,0.0,0.0
-0.541,1.02,0.672,-0.017,-0.0153,-0.671,0.741,-0.198,0.0528,0.058,0.133,0.249,-0.334,-0.0879,0.1,-0.0336,0.0,0.0,0.0,0.0,-0.167,-0.1,-0.769,-0.222,0.0,0.0,0.0
-0.541,1.02,0.672,-0.017,-0.0155,-0.674,0.738,-0.188,0.0527,0.0581,0.133,0.251,-0.335,-0.0882,0.1,-0.0337,0.0,0.0,0.0,0.0,-0.166,-0.1,-0.755,-0.227,0.0,0.0,0.0
-0.541,1.02,0.672,-0.017,-0.0157,-0.676,0.736,-0.182,0.053,0.058,0.133,0.251,-0.335,-0.0885,0.1,-0.0337,0.0,0.0,0.0,0.0,-0.165,-0.1,-0.746,-0.231,0.0,0.0,0.0
-0.541,1.02,0.672,-0.017,-0.0159,-0.678,0.735,-0.177,0.0536,0.0578,0.133,0.252,-0.336,-0.0886,0.1,-0.0339,0.0,0.0,0.0,0.0,-0.164,-0.1,-0.736,-0.234,0.0,0.0,0.0
-0.541,1.02,0.672,-0.017,-0.0161,-0.68,0.733,-0.171,0.0548,0.0574,0.133,0.252,-0.336,-0.0887,0.1,-0.0342,0.0,0.0,0.0,0.0,-0.164,-0.1,-0.724,-0.237,0.0,0.0,0.0
-0.541,1.01,0.672,-0.017,-0.0163,-0.682,0.731,-0.168,0.056,0.0571,0.134,0.252,-0.336,-0.0887,0.1,-0.0345,0.0,0.0,0.0,0.0,-0.164,-0.1,-0.715,-0.239,0.0,0.0,0.0
-0.541,1.01,0.672,-0.017,-0.0166,-0.683,0.73,-0.164,0.0573,0.0567,0.135,0.252,-0.337,-0.0885,0.1,-0.0349,0.0,0.0,0.0,0.0,-0.163,-0.1,-0.707,-0.241,0.0,0.0,0.0
-0.541,1.01,0.672,-0.017,-0.0168,-0.685,0.728,-0.16,0.059,0.056,0.137,0.253,-0.337,-0.0882,0.1,-0.0354,0.0,0.0,0.0,0.0,-0.162,-0.1,-0.696,-0.243,0.0,0.0,0.0
-0.541,1.01,0.672,-0.017,-0.0169,-0.686,0.727,-0.157,0.0601,0.0556,0.138,0.253,-0.337,-0.088,0.1,-0.0357,0.0,0.0,0.0,0.0,-0.162,-0.1,-0.689,-0.245,0.0,0.0,0.0
