time,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25
0.0,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.02004008016032064,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.031458093051443085,0.0,0.0,-0.0377497116617317,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.04008016032064128,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.062791537449306,0.0,0.0,-0.0753498449391672,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.06012024048096192,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.09387617844428986,0.0,0.0,-0.11265141413314783,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.08016032064128256,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.12458884713862609,0.0,0.0,-0.1495066165663513,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.1002004008016032,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.1548078485270153,0.0,0.0,-0.18576941823241835,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.12024048096192384,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.18441344369745674,0.0,0.0,-0.2212961324369481,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.1402805611222445,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.21328832428130892,0.0,0.0,-0.2559459891375707,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.16032064128256512,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.24131807727263477,0.0,0.0,-0.2895816927271617,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.18036072144288576,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.26839163837504343,0.0,0.0,-0.3220699660500521,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.2004008016032064,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.2944017320797012,0.0,0.0,-0.35328207849564147,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.22044088176352705,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.3192452967307576,0.0,0.0,-0.38309435607690906,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.24048096192384769,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.34282389289392057,0.0,0.0,-0.4113886714727047,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.2605210420841683,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.36504409341007277,0.0,0.0,-0.4380529120920873,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.280561122244489,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.38581785358839044,0.0,0.0,-0.4629814243060685,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.3006012024048096,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.40506286007212333,0.0,0.0,-0.48607543208654796,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.32064128256513025,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.42270285699469956,0.0,0.0,-0.5072434283936395,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.3406813627254509,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.4386679481338031,0.0,0.0,-0.5264015377605638,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.3607214428857715,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.45289487386617844,0.0,0.0,-0.5434738486394141,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.3807615230460922,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.46532726182576306,0.0,0.0,-0.5583927141909156,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.4008016032064128,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.4759158502719481,0.0,0.0,-0.5710990203263377,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.42084168336673344,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.4846186832828989,0.0,0.0,-0.5815424199394786,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.4408817635270541,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.4914012770005072,0.0,0.0,-0.5896815324006086,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.4609218436873747,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.4962367562682495,0.0,0.0,-0.5954841075218994,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.48096192384769537,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.499105961120544,0.0,0.0,-0.5989271533446527,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.501002004008016,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.49999752270165304,0.0,0.0,-0.5999970272419837,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.5210420841683366,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.4989079083133139,0.0,0.0,-0.5986894899759766,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.5410821643286573,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.49584143541260217,0.0,0.0,-0.5950097224951226,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
0.561122244488978,-0.01867,-0.00196,-0.376,0.676,-0.352,-0.0198,-0.016,-0.0008,-0.376,0.676,-0.352,0.016,0.4908102545045624,0.0,0.0,-0.5889723054054748,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
